14:38:30 CalibrationData: ####################
14:38:30 CalibrationData: CALIBRATIONDATA INFO BEGIN
14:38:30 CalibrationData: ####################
14:38:30 CalibrationData: Filename = calData\Metronix_Coil-----TYPE-006_HF-ID-000133.RSPX
14:38:30 CalibrationData: Serial = 133
14:38:30 CalibrationData: Sensor = 006_HF
14:38:30 CalibrationData: Static gain = 800.00
14:38:30 CalibrationData: Chopper = False
14:38:30 CalibrationData: Number of frequency points = 287
14:38:30 CalibrationData: Calibration data:
14:38:30 CalibrationData:          Frequency [Hz]       Mag. [mv/nT]    Phase [rad]
14:38:30 CalibrationData:              1.00000000           180.04            2.01
14:38:30 CalibrationData:              1.03925600           189.75            1.98
14:38:30 CalibrationData:              1.08005200           199.79            1.95
14:38:30 CalibrationData:              1.12245100           210.08            1.92
14:38:30 CalibrationData:              1.16651300           220.73            1.89
14:38:30 CalibrationData:              1.21230500           231.60            1.85
14:38:30 CalibrationData:              1.25989500           242.88            1.82
14:38:30 CalibrationData:              1.30935300           254.40            1.79
14:38:30 CalibrationData:              1.36075300           266.12            1.76
14:38:30 CalibrationData:              1.41417000           278.21            1.73
14:38:30 CalibrationData:              1.46968400           290.44            1.70
14:38:30 CalibrationData:              1.52737800           302.98            1.66
14:38:30 CalibrationData:              1.58733600           315.77            1.63
14:38:30 CalibrationData:              1.64964800           328.70            1.60
14:38:30 CalibrationData:              1.71440600           341.97            1.57
14:38:30 CalibrationData:              1.78170600           355.26            1.54
14:38:30 CalibrationData:              1.85164800           368.62            1.50
14:38:30 CalibrationData:              1.92433600           382.12            1.47
14:38:30 CalibrationData:              1.99987700           395.63            1.44
14:38:30 CalibrationData:              2.07838400           409.18            1.41
14:38:30 CalibrationData:              2.15997200           422.87            1.38
14:38:30 CalibrationData:              2.24476300           436.42            1.34
14:38:30 CalibrationData:              2.33288300           449.94            1.31
14:38:30 CalibrationData:              2.42446200           463.60            1.28
14:38:30 CalibrationData:              2.51963600           477.16            1.25
14:38:30 CalibrationData:              2.61854600           490.47            1.22
14:38:30 CalibrationData:              2.72133900           503.72            1.19
14:38:30 CalibrationData:              2.82816700           516.81            1.16
14:38:30 CalibrationData:              2.93918800           529.72            1.13
14:38:30 CalibrationData:              3.05456800           542.34            1.09
14:38:30 CalibrationData:              3.17447700           555.05            1.07
14:38:30 CalibrationData:              3.29909400           567.29            1.04
14:38:30 CalibrationData:              3.42860200           578.98            1.01
14:38:30 CalibrationData:              3.56319400           590.99            0.98
14:38:30 CalibrationData:              3.70307000           601.89            0.95
14:38:30 CalibrationData:              3.84843600           612.84            0.92
14:38:30 CalibrationData:              3.99950900           623.49            0.89
14:38:30 CalibrationData:              4.15651300           633.56            0.87
14:38:30 CalibrationData:              4.31967900           643.63            0.84
14:38:30 CalibrationData:              4.48925100           653.12            0.81
14:38:30 CalibrationData:              4.66548000           662.23            0.79
14:38:30 CalibrationData:              4.84862700           670.92            0.76
14:38:30 CalibrationData:              5.03896300           679.45            0.74
14:38:30 CalibrationData:              5.23677100           687.12            0.72
14:38:30 CalibrationData:              5.44234400           694.84            0.69
14:38:30 CalibrationData:              5.65598600           702.28            0.67
14:38:30 CalibrationData:              5.87801600           709.24            0.65
14:38:30 CalibrationData:              6.10876200           715.97            0.63
14:38:30 CalibrationData:              6.34856500           722.24            0.60
14:38:30 CalibrationData:              6.59778300           728.20            0.58
14:38:30 CalibrationData:              6.85678300           733.65            0.56
14:38:30 CalibrationData:              7.12595100           738.86            0.54
