Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 365    Date: 27/11/08    Time: 11:11:38



 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +2.0043E-01  +8.8520E+01    
+1.2589E-01  +2.0034E-01  +8.8161E+01    
+1.5849E-01  +2.0017E-01  +8.7667E+01    
+1.9953E-01  +2.0011E-01  +8.7117E+01    
+2.5119E-01  +2.0016E-01  +8.6402E+01    
+3.1623E-01  +2.0019E-01  +8.5552E+01    
+3.9811E-01  +1.9947E-01  +8.4367E+01    
+5.0119E-01  +1.9940E-01  +8.2918E+01    
+6.3095E-01  +1.9849E-01  +8.1023E+01    
+7.9430E-01  +1.9689E-01  +7.8954E+01    
+1.0000E+00  +1.9510E-01  +7.6254E+01    
+1.2589E+00  +1.9176E-01  +7.2912E+01    
+1.5849E+00  +1.8711E-01  +6.8955E+01    
+1.9952E+00  +1.8039E-01  +6.4078E+01    
+2.5119E+00  +1.7102E-01  +5.8623E+01    
+3.1623E+00  +1.5875E-01  +5.2421E+01    
+3.9810E+00  +1.4449E-01  +4.6101E+01    
+5.0118E+00  +1.2745E-01  +3.9381E+01    
+6.3095E+00  +1.0974E-01  +3.3023E+01    
+7.9430E+00  +9.2439E-02  +2.7481E+01    
+1.0000E+01  +7.6461E-02  +2.2411E+01    
+1.2589E+01  +6.2517E-02  +1.8156E+01    
+1.5849E+01  +5.0509E-02  +1.4523E+01    
+1.9952E+01  +4.0600E-02  +1.1539E+01    
+2.5119E+01  +3.2444E-02  +9.1190E+00    
+3.1622E+01  +2.5959E-02  +7.0988E+00    
+3.9810E+01  +2.0616E-02  +5.5029E+00    
+5.0118E+01  +1.6420E-02  +4.4471E+00    
+6.3095E+01  +1.3146E-02  +3.3092E+00    
+7.9430E+01  +1.0399E-02  +2.3841E+00    
+1.0000E+02  +8.2636E-03  +1.5609E+00    
+1.2589E+02  +6.5602E-03  +8.3949E-01    
+1.5849E+02  +5.2332E-03  +2.3482E-01    
+1.9952E+02  +4.1432E-03  -4.6963E-01    
+2.5118E+02  +3.2917E-03  -1.0720E+00    
+3.1622E+02  +2.6122E-03  -1.7975E+00    
+3.9810E+02  +2.0748E-03  -2.5889E+00    
+5.0118E+02  +1.6473E-03  -3.5470E+00    
+6.3094E+02  +1.3067E-03  -4.6898E+00    
+7.9430E+02  +1.0360E-03  -6.0646E+00    
+1.0000E+03  +8.2162E-04  -7.7787E+00    
+1.2589E+03  +6.5076E-04  -9.7948E+00    
+1.5849E+03  +5.1474E-04  -1.2441E+01    
+1.9952E+03  +4.0614E-04  -1.5666E+01    
+2.5118E+03  +3.1859E-04  -2.0111E+01    
+3.1622E+03  +2.4617E-04  -2.5492E+01    
+3.9810E+03  +1.8636E-04  -3.2122E+01    
+5.0117E+03  +1.3435E-04  -3.9112E+01    
+6.3094E+03  +9.5229E-05  -4.2706E+01    
+7.9430E+03  +7.2220E-05  -4.6970E+01    
+9.9995E+03  +5.4496E-05  -5.4995E+01    
+1.0000E+04  +5.4500E-05  -5.4988E+01    
                                         
                                 
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg           
Chopper Off
+1.0000E+00  +1.8611E-01  +1.1410E+02    
+1.2589E+00  +1.9840E-01  +1.0386E+02    
+1.5849E+00  +2.0421E-01  +9.3422E+01    
+1.9953E+00  +2.0263E-01  +8.2185E+01    
+2.5119E+00  +1.9428E-01  +7.1237E+01    
+3.1623E+00  +1.7901E-01  +6.0768E+01    
+3.9811E+00  +1.5954E-01  +5.1025E+01    
+5.0119E+00  +1.3766E-01  +4.2242E+01    
+6.3095E+00  +1.1590E-01  +3.4394E+01    
+7.9430E+00  +9.6266E-02  +2.7719E+01    
+1.0000E+01  +7.8837E-02  +2.2634E+01    
+1.2589E+01  +6.3878E-02  +1.7903E+01    
+1.5849E+01  +5.1205E-02  +1.4319E+01    
+1.9952E+01  +4.0978E-02  +1.1342E+01    
+2.5119E+01  +3.2722E-02  +8.9618E+00    
+3.1623E+01  +2.6096E-02  +7.1141E+00    
+3.9810E+01  +2.0736E-02  +5.5471E+00    
+5.0118E+01  +1.6447E-02  +4.2488E+00    
+6.3095E+01  +1.3140E-02  +3.2258E+00    
+7.9430E+01  +1.0422E-02  +2.2666E+00    
+1.0000E+02  +8.2896E-03  +1.5141E+00    
+1.2589E+02  +6.5791E-03  +8.4879E-01    
+1.5849E+02  +5.2351E-03  +1.5632E-03    
+1.9952E+02  +4.1479E-03  -4.3138E-01    
+2.5119E+02  +3.2948E-03  -1.1863E+00    
+3.1622E+02  +2.6164E-03  -1.8097E+00    
+3.9810E+02  +2.0787E-03  -2.6202E+00    
+5.0118E+02  +1.6486E-03  -3.4773E+00    
+6.3095E+02  +1.3096E-03  -4.6120E+00    
+7.9430E+02  +1.0388E-03  -5.9924E+00    
+1.0000E+03  +8.2342E-04  -7.4157E+00    
+1.2589E+03  +6.5300E-04  -9.6045E+00    
+1.5849E+03  +5.1570E-04  -1.2194E+01    
+1.9952E+03  +4.0744E-04  -1.5371E+01    
+2.5118E+03  +3.1944E-04  -2.0146E+01    
+3.1622E+03  +2.4673E-04  -2.5515E+01    
+3.9810E+03  +1.8680E-04  -3.2187E+01    
+5.0118E+03  +1.3456E-04  -3.9213E+01    
+6.3094E+03  +9.5246E-05  -4.2806E+01    
+7.9430E+03  +7.2206E-05  -4.7006E+01    
+1.0000E+04  +5.4489E-05  -5.5006E+01    
