Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 357    Date: 13/10/08    Time: 12:32:49



 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +2.0027E-01  +8.8503E+01    
+1.2589E-01  +2.0025E-01  +8.8152E+01    
+1.5849E-01  +2.0007E-01  +8.7690E+01    
+1.9953E-01  +1.9992E-01  +8.7123E+01    
+2.5119E-01  +1.9976E-01  +8.6432E+01    
+3.1623E-01  +1.9949E-01  +8.5522E+01    
+3.9811E-01  +1.9929E-01  +8.4396E+01    
+5.0119E-01  +1.9890E-01  +8.2991E+01    
+6.3095E-01  +1.9801E-01  +8.1072E+01    
+7.9430E-01  +1.9680E-01  +7.9052E+01    
+1.0000E+00  +1.9432E-01  +7.6446E+01    
+1.2589E+00  +1.9182E-01  +7.2974E+01    
+1.5849E+00  +1.8645E-01  +6.9181E+01    
+1.9952E+00  +1.8021E-01  +6.4316E+01    
+2.5119E+00  +1.7108E-01  +5.8788E+01    
+3.1623E+00  +1.5896E-01  +5.2685E+01    
+3.9810E+00  +1.4447E-01  +4.6280E+01    
+5.0118E+00  +1.2770E-01  +3.9779E+01    
+6.3095E+00  +1.1002E-01  +3.3502E+01    
+7.9430E+00  +9.2494E-02  +2.7512E+01    
+1.0000E+01  +7.6696E-02  +2.2567E+01    
+1.2589E+01  +6.2736E-02  +1.8065E+01    
+1.5849E+01  +5.0745E-02  +1.4631E+01    
+1.9952E+01  +4.0696E-02  +1.1632E+01    
+2.5119E+01  +3.2721E-02  +9.1159E+00    
+3.1622E+01  +2.6115E-02  +7.1429E+00    
+3.9810E+01  +2.0776E-02  +5.6666E+00    
+5.0118E+01  +1.6530E-02  +4.3575E+00    
+6.3095E+01  +1.3198E-02  +3.2670E+00    
+7.9430E+01  +1.0463E-02  +2.3548E+00    
+1.0000E+02  +8.3153E-03  +1.5835E+00    
+1.2589E+02  +6.5969E-03  +9.0108E-01    
+1.5849E+02  +5.2543E-03  +5.8496E-02    
+1.9952E+02  +4.1609E-03  -5.0647E-01    
+2.5118E+02  +3.3114E-03  -1.2469E+00    
+3.1622E+02  +2.6233E-03  -1.8963E+00    
+3.9810E+02  +2.0833E-03  -2.7205E+00    
+5.0118E+02  +1.6562E-03  -3.6906E+00    
+6.3094E+02  +1.3132E-03  -4.8091E+00    
+7.9430E+02  +1.0420E-03  -6.2037E+00    
+1.0000E+03  +8.2600E-04  -7.9856E+00    
+1.2589E+03  +6.5390E-04  -1.0202E+01    
+1.5849E+03  +5.1685E-04  -1.2967E+01    
+1.9952E+03  +4.0959E-04  -1.6384E+01    
+2.5118E+03  +3.1926E-04  -2.1483E+01    
+3.1622E+03  +2.4479E-04  -2.7167E+01    
+3.9810E+03  +1.8169E-04  -3.4262E+01    
+5.0117E+03  +1.2608E-04  -3.9534E+01    
+6.3094E+03  +9.3629E-05  -4.0324E+01    
+7.9430E+03  +7.3241E-05  -4.6552E+01    
+9.9995E+03  +5.4910E-05  -5.5991E+01    
+1.0000E+04  +5.4913E-05  -5.5990E+01    
                                         
                               
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg           
Chopper Off
+1.0000E+00  +1.8757E-01  +1.1297E+02    
+1.2589E+00  +1.9897E-01  +1.0252E+02    
+1.5849E+00  +2.0377E-01  +9.2020E+01    
+1.9953E+00  +2.0163E-01  +8.1264E+01    
+2.5119E+00  +1.9272E-01  +7.0740E+01    
+3.1623E+00  +1.7788E-01  +6.0579E+01    
+3.9811E+00  +1.5868E-01  +5.0952E+01    
+5.0119E+00  +1.3734E-01  +4.2254E+01    
+6.3095E+00  +1.1620E-01  +3.4679E+01    
+7.9430E+00  +9.6414E-02  +2.7993E+01    
+1.0000E+01  +7.8927E-02  +2.2654E+01    
+1.2589E+01  +6.3854E-02  +1.8102E+01    
+1.5849E+01  +5.1366E-02  +1.4407E+01    
+1.9952E+01  +4.1185E-02  +1.1494E+01    
+2.5119E+01  +3.2821E-02  +8.9231E+00    
+3.1623E+01  +2.6151E-02  +7.1736E+00    
+3.9810E+01  +2.0888E-02  +5.5249E+00    
+5.0118E+01  +1.6567E-02  +4.0796E+00    
+6.3095E+01  +1.3184E-02  +3.0935E+00    
+7.9430E+01  +1.0470E-02  +2.2565E+00    
+1.0000E+02  +8.3286E-03  +1.5035E+00    
+1.2589E+02  +6.6137E-03  +7.5695E-01    
+1.5849E+02  +5.2535E-03  +2.3410E-01    
+1.9952E+02  +4.1695E-03  -4.5996E-01    
+2.5119E+02  +3.3067E-03  -1.1437E+00    
+3.1622E+02  +2.6291E-03  -1.8860E+00    
+3.9810E+02  +2.0872E-03  -2.6796E+00    
+5.0118E+02  +1.6572E-03  -3.5884E+00    
+6.3095E+02  +1.3156E-03  -4.8156E+00    
+7.9430E+02  +1.0445E-03  -6.1493E+00    
+1.0000E+03  +8.2712E-04  -7.9460E+00    
+1.2589E+03  +6.5493E-04  -1.0156E+01    
+1.5849E+03  +5.1819E-04  -1.2880E+01    
+1.9952E+03  +4.1033E-04  -1.6273E+01    
+2.5118E+03  +3.1951E-04  -2.1371E+01    
+3.1622E+03  +2.4534E-04  -2.7051E+01    
+3.9810E+03  +1.8236E-04  -3.4133E+01    
+5.0118E+03  +1.2670E-04  -3.9465E+01    
+6.3094E+03  +9.4003E-05  -4.0351E+01    
+7.9430E+03  +7.3479E-05  -4.6558E+01    
+1.0000E+04  +5.5090E-05  -5.5963E+01    
                                         
