Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 307    Date: 26/02/08    Time: 13:57:08



 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+1.0000E-01  +1.9967E-01  +8.8535E+01    
+1.4678E-01  +1.9964E-01  +8.7887E+01    
+2.1544E-01  +1.9928E-01  +8.6934E+01    
+3.1623E-01  +1.9891E-01  +8.5547E+01    
+4.6416E-01  +1.9809E-01  +8.3514E+01    
+6.8130E-01  +1.9695E-01  +8.0509E+01    
+1.0000E+00  +1.9404E-01  +7.6741E+01    
+1.4678E+00  +1.8770E-01  +7.0453E+01    
+2.1544E+00  +1.7690E-01  +6.2477E+01    
+3.1623E+00  +1.5836E-01  +5.2606E+01    
+4.6416E+00  +1.3279E-01  +4.1770E+01    
+6.8130E+00  +1.0372E-01  +3.1404E+01    
+1.0000E+01  +7.6400E-02  +2.2509E+01    
+1.4678E+01  +5.4278E-02  +1.5750E+01    
+2.1545E+01  +3.7703E-02  +1.0793E+01    
+3.1623E+01  +2.5950E-02  +7.2969E+00    
+4.6416E+01  +1.7764E-02  +4.8230E+00    
+6.8130E+01  +1.2068E-02  +2.5867E+00    
+1.0000E+02  +8.2609E-03  +1.6403E+00    
+1.4678E+02  +5.6252E-03  +6.2510E-01    
+2.1545E+02  +3.8366E-03  -4.3974E-01    
+3.1623E+02  +2.6130E-03  -1.5101E+00    
+4.6417E+02  +1.7803E-03  -2.8062E+00    
+6.8130E+02  +1.2143E-03  -4.4696E+00    
+1.0000E+03  +8.2795E-04  -6.9529E+00    
+1.4678E+03  +5.6357E-04  -1.0678E+01    
+2.1545E+03  +3.7850E-04  -1.6257E+01    
+3.1623E+03  +2.5184E-04  -2.4246E+01    
+4.6417E+03  +1.5496E-04  -3.5922E+01    
+6.8130E+03  +9.0960E-05  -4.2593E+01    
+1.0000E+04  +5.7145E-05  -5.5638E+01    
                                         
                                         
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg           
Chopper Off                              
+1.0000E+00  +1.8576E-01  +1.1400E+02    
+1.4678E+00  +2.0293E-01  +9.6384E+01    
+2.1544E+00  +2.0041E-01  +7.8263E+01    
+3.1623E+00  +1.7849E-01  +6.0746E+01    
+4.6416E+00  +1.4510E-01  +4.5104E+01    
+6.8130E+00  +1.0945E-01  +3.2242E+01    
+1.0000E+01  +7.8725E-02  +2.2515E+01    
+1.4678E+01  +5.5173E-02  +1.5405E+01    
+2.1544E+01  +3.8023E-02  +1.0456E+01    
+3.1623E+01  +2.6038E-02  +7.0227E+00    
+4.6416E+01  +1.7792E-02  +4.6957E+00    
+6.8130E+01  +1.2057E-02  +2.4803E+00    
+1.0000E+02  +8.2659E-03  +1.5764E+00    
+1.4678E+02  +5.6405E-03  +4.5492E-01    
+2.1545E+02  +3.8412E-03  -4.5362E-01    
+3.1623E+02  +2.6153E-03  -1.5157E+00    
+4.6416E+02  +1.7824E-03  -2.7990E+00    
+6.8130E+02  +1.2155E-03  -4.5719E+00    
+1.0000E+03  +8.2922E-04  -6.9519E+00    
+1.4678E+03  +5.6431E-04  -1.0762E+01    
+2.1545E+03  +3.7878E-04  -1.6322E+01    
+3.1623E+03  +2.5223E-04  -2.4233E+01    
+4.6417E+03  +1.5522E-04  -3.5962E+01    
+6.8130E+03  +9.0989E-05  -4.2653E+01    
+1.0000E+04  +5.7123E-05  -5.5670E+01    
